Paragraph,Summary,BERTScore
1,1,0.898744523525238
1,2,0.8857699632644653
1,3,0.9176785945892334
1,4,0.865013062953949
1,5,0.8573607206344604
1,6,0.9414300322532654
1,7,0.892734944820404
1,8,0.8778650760650635
1,9,0.8520243763923645
1,10,0.9040101170539856
1,11,0.8526166677474976
2,1,0.8555076122283936
2,2,0.8561457991600037
2,3,0.8768570423126221
2,4,0.8437326550483704
2,5,0.8534263968467712
2,6,0.8984778523445129
2,7,0.8702494502067566
2,8,0.8530301451683044
2,9,0.8499447107315063
2,10,0.8660858869552612
2,11,0.8397572040557861
3,1,0.9441239237785339
3,2,0.941668689250946
3,3,0.9348452091217041
3,4,0.9111575484275818
3,5,0.9123907685279846
3,6,0.9255127310752869
3,7,0.9357781410217285
3,8,0.9119619727134705
3,9,0.9203329086303711
3,10,0.9294868111610413
3,11,0.9161134958267212
4,1,0.8791580200195312
4,2,0.8855376243591309
4,3,0.8846570253372192
4,4,0.8639846444129944
4,5,0.8666703104972839
4,6,0.8738800883293152
4,7,0.879718005657196
4,8,0.8612241744995117
4,9,0.8772544860839844
4,10,0.8908933401107788
4,11,0.8831400871276855
5,1,0.8520572185516357
5,2,0.8629881739616394
5,3,0.8559132218360901
5,4,0.8249094486236572
5,5,0.8255383968353271
5,6,0.8577435612678528
5,7,0.8514417409896851
5,8,0.8275866508483887
5,9,0.8274354934692383
5,10,0.8540820479393005
5,11,0.8254244923591614
6,1,0.8662985563278198
6,2,0.8617297410964966
6,3,0.8745753765106201
6,4,0.8584012985229492
6,5,0.8573241829872131
6,6,0.9217464327812195
6,7,0.8756298422813416
6,8,0.857007622718811
6,9,0.8556161522865295
6,10,0.8657206296920776
6,11,0.8583270907402039
7,1,0.9110817909240723
7,2,0.8983954787254333
7,3,0.9340766072273254
7,4,0.8741289973258972
7,5,0.8872378468513489
7,6,0.9276329278945923
7,7,0.9117347598075867
7,8,0.8896957039833069
7,9,0.8754636645317078
7,10,0.9045013785362244
7,11,0.8670988082885742
8,1,0.9107558727264404
8,2,0.8987843990325928
8,3,0.9150932431221008
8,4,0.8851091265678406
8,5,0.9004960656166077
8,6,0.904621958732605
8,7,0.9139217734336853
8,8,0.8778524994850159
8,9,0.8909450173377991
8,10,0.9065907597541809
8,11,0.884423553943634
9,1,0.8425912261009216
9,2,0.8384990692138672
9,3,0.8597372770309448
9,4,0.8356361985206604
9,5,0.8350585699081421
9,6,0.8634214997291565
9,7,0.8460399508476257
9,8,0.8319216370582581
9,9,0.8342987895011902
9,10,0.8422627449035645
9,11,0.8395097851753235
10,1,0.8505564332008362
10,2,0.8333351612091064
10,3,0.8456540107727051
10,4,0.8338695764541626
10,5,0.82178795337677
10,6,0.861617386341095
10,7,0.8663778305053711
10,8,0.8291999101638794
10,9,0.8354810476303101
10,10,0.841298520565033
10,11,0.8259462714195251
